num|name
1511|Tanning and dressing of leather; dressing and dyeing of fur
1512|Manufacture of luggage, handbags and the like, saddlery and harness
151|Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur
1520|Manufacture of footwear
152|Manufacture of footwear
15|Manufacture of leather and related products
1610|Sawmilling and planing of wood
161|Sawmilling and planing of wood
1621|Manufacture of veneer sheets and wood-based panels
1622|Manufacture of builders’ carpentry and joinery
1623|Manufacture of wooden containers
1629|Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials
16|Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials
1701|Manufacture of pulp, paper and paperboard
1702|Manufacture of corrugated paper and paperboard and of containers of paper
1709|Manufacture of other articles of paper and paperboard
170|Manufacture of paper and paper products
17|Manufacture of paper and paper products
1811|Printing
1812|Service activities related to printing
181|Printing and service activities related to printing
1820|Reproduction of recorded media
182|Reproduction of recorded media
1910|Manufacture of coke oven products
191|Manufacture of coke oven products
1920|Manufacture of refined petroleum products
192|Manufacture of refined petroleum products
19|Manufacture of coke and refined petroleum products
2011|Manufacture of basic chemicals
2012|Manufacture of fertilizers and nitrogen compounds
2013|Manufacture of plastics and synthetic rubber in primary forms
201|Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics
2021|Manufacture of pesticides and other agrochemical products
2022|Manufacture of paints, varnishes and similar coatings, printing ink and mastics
2023|Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations
2029|Manufacture of other chemical products n.e.c.
202|Manufacture of other chemical products
2030|Manufacture of man-made fibres
203|Manufacture of man-made fibres
20|Manufacture of chemicals and chemical products
2100|Manufacture of pharmaceuticals, medicinal chemical and botanical products
21|Manufacture of basic pharmaceutical products and pharmaceutical preparations
2211|Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
2219|Manufacture of other rubber products
221|Manufacture of rubber products
2220|Manufacture of plastics products
222|Manufacture of plastics products
22|Manufacture of rubber and plastics products
2310|Manufacture of glass and glass products
231|Manufacture of glass and glass products
234|other scientific, commercial and industrial machinery
2391|Manufacture of refractory products
2392|Manufacture of clay building materials
2393|Manufacture of other porcelain and ceramic products
2394|Manufacture of cement, lime and plaster
2395|Manufacture of articles of concrete, cement and plaster
2396|Cutting, shaping and finishing of stone
2399|Manufacture of other non-metallic mineral products n.e.c.
239|Manufacture of non-metallic mineral products n.e.c.
23|Manufacture of other non-metallic mineral products
2410|Manufacture of basic iron and steel
241|Manufacture of basic iron and steel
2420|Manufacture of basic precious and other non-ferrous metals
242|Manufacture of basic precious and other non-ferrous metals
2431|Casting of iron and steel
2432|Casting of non-ferrous metals
243|Casting of metals
24|Manufacture of basic metals
2511|Manufacture of structural metal products
2512|Manufacture of tanks, reservoirs and containers of metal
2513|Manufacture of steam generators, except central heating hot water boilers
251|Manufacture of structural metal products, tanks, reservoirs and steam genera- tors
2520|Manufacture of weapons and ammunition
252|Manufacture of weapons and ammunition
2591|Forging, pressing, stamping and roll-forming of metal; powder metallurgy
2592|Treatment and coating of metals; machining
2593|Manufacture of cutlery, hand tools and general hardware
2599|Manufacture of other fabricated metal products n.e.c.
259|Manufacture of other fabricated metal products; metalworking service activities
25|Manufacture of fabricated metal products, except machinery and equipment
2610|Manufacture of electronic components and boards
261|Manufacture of electronic components and boards
2620|Manufacture of computers and peripheral equipment
262|Manufacture of computers and peripheral equipment
2630|Manufacture of communication equipment
263|Manufacture of communication equipment
2640|Manufacture of consumer electronics
264|Manufacture of consumer electronics
2651|Manufacture of measuring, testing, navigating and control equipment
2652|Manufacture of watches and clocks
265|Manufacture of measuring, testing, navigating and control equipment; watches
2660|Manufacture of irradiation, electromedical and electrotherapeutic equipment
266|Manufacture of irradiation, electromedical and electrotherapeutic equipment
2670|Manufacture of optical instruments and photographic equipment
267|Manufacture of optical instruments and photographic equipment
2680|Manufacture of magnetic and optical media
268|Manufacture of magnetic and optical media
26|Manufacture of computer, electronic and optical products
2710|Manufacture of electric motors, generators, transformers and electricity distri- bution and control apparatus
271|Manufacture of electric motors, generators, transformers and electricity distri- bution and control apparatus
2720|Manufacture of batteries and accumulators
272|Manufacture of batteries and accumulators
2731|Manufacture of fibre optic cables
2732|Manufacture of other electronic and electric wires and cables
2733|Manufacture of wiring devices
273|Manufacture of wiring and wiring devices
2740|Manufacture of electric lighting equipment
274|Manufacture of electric lighting equipment
2750|Manufacture of domestic appliances
275|Manufacture of domestic appliances
2790|Manufacture of other electrical equipment
279|Manufacture of other electrical equipment
27|Manufacture of electrical equipment
2811|Manufacture of engines and turbines, except aircraft, vehicle and cycle engines
2812|Manufacture of fluid power equipment
2813|Manufacture of other pumps, compressors, taps and valves
2814|Manufacture of bearings, gears, gearing and driving elements
2815|Manufacture of ovens, furnaces and furnace burners
2816|Manufacture of lifting and handling equipment
2817|Manufacture of office machinery and equipment (except computers and periph- eral equipment)
2818|Manufacture of power-driven hand tools
2819|Manufacture of other general-purpose machinery
281|Manufacture of general-purpose machinery
2821|Manufacture of agricultural and forestry machinery
2822|Manufacture of metal-forming machinery and machine tools
2823|Manufacture of machinery for metallurgy
2824|Manufacture of machinery for mining, quarrying and construction
2825|Manufacture of machinery for food, beverage and tobacco processing
2826|Manufacture of machinery for textile, apparel and leather production
282|Manufacture of special-purpose machinery
28|Manufacture of machinery and equipment n.e.c.
2910|Manufacture of motor vehicles
291|Manufacture of motor vehicles
2920|Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
292|Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
2930|Manufacture of parts and accessories for motor vehicles
29|Manufacture of motor vehicles, trailers and semi-trailers
3011|Building of ships and floating structures
3012|Building of pleasure and sporting boats
301|Building of ships and boats
3020|Manufacture of railway locomotives and rolling stock
302|Manufacture of railway locomotives and rolling stock
3030|Manufacture of air and spacecraft and related machinery
303|Manufacture of air and spacecraft and related machinery
3040|Manufacture of military fighting vehicles
304|Manufacture of military fighting vehicles
3091|Manufacture of motorcycles
3092|Manufacture of bicycles and invalid carriages
309|Manufacture of transport equipment n.e.c.
30|Manufacture of other transport equipment
3100|Manufacture of furniture
310|Manufacture of furniture
3211|Manufacture of jewellery and related articles
3212|Manufacture of imitation jewellery and related articles
321|Manufacture of jewellery, bijouterie and related articles
3220|Manufacture of musical instruments
322|Manufacture of musical instruments
3230|Manufacture of sports goods
323|Manufacture of sports goods
3240|Manufacture of games and toys
324|Manufacture of games and toys
3250|Manufacture of medical and dental instruments and supplies
325|Manufacture of medical and dental instruments and supplies
3290|Other manufacturing n.e.c.
329|Other manufacturing n.e.c.
32|Other manufacturing
3311|Repair of fabricated metal products
3312|Repair of machinery
3313|Repair of electronic and optical equipment
3314|Repair of electrical equipment
3315|Repair of transport equipment, except motor vehicles
3319|Repair of other equipment
331|Repair of fabricated metal products, machinery and equipment
3320|Installation of industrial machinery and equipment
332|Installation of industrial machinery and equipment
33|Repair and installation of machinery and equipment
3510|Electric power generation, transmission and distribution
351|Electric power generation, transmission and distribution
3520|Manufacture of gas; distribution of gaseous fuels through mains
352|Manufacture of gas; distribution of gaseous fuels through mains
3530|Steam and air conditioning supply
353|Steam and air conditioning supply
35|Electricity, gas, steam and air conditioning supply
3600|Water collection, treatment and supply
360|Water collection, treatment and supply
36|Water collection, treatment and supply
3700|Sewerage
370|Sewerage
37|Sewerage
3811|Collection of non-hazardous waste
3812|Collection of hazardous waste
381|Waste collection
3821|Treatment and disposal of non-hazardous waste
3822|Treatment and disposal of hazardous waste
382|Waste treatment and disposal
3830|Materials recovery
383|Materials recovery
38|Waste collection, treatment and disposal activities; materials recovery
3900|Remediation activities and other waste management services
390|Remediation activities and other waste management services
39|Remediation activities and other waste management services
4100|Construction of buildings
410|Construction of buildings
41|Construction of buildings
4210|Construction of roads and railways
421|Construction of roads and railways
4220|Construction of utility projects
422|Construction of utility projects
429|Construction of other civil engineering projects
42|Civil engineering
4311|Demolition
4312|Site preparation
431|Demolition and site preparation
4321|Electrical installation
4322|Plumbing, heat and air-conditioning installation
4329|Other construction installation
432|Electrical, plumbing and other construction installation activities
4330|Building completion and finishing
433|Building completion and finishing
4390|Other specialized construction activities
439|Other specialized construction activities
43|Specialized construction activities
4510|Sale of motor vehicles
451|Sale of motor vehicles
4520|Maintenance and repair of motor vehicles
452|Maintenance and repair of motor vehicles
4530|Sale of motor vehicle parts and accessories
453|Sale of motor vehicle parts and accessories
4540|Sale, maintenance and repair of motorcycles and related parts and accessories
454|Sale, maintenance and repair of motorcycles and related parts and accessories
45|Wholesale and retail trade and repair of motor vehicles and motorcycles
4610|Wholesale on a fee or contract basis
461|Wholesale on a fee or contract basis
4620|Wholesale of agricultural raw materials and live animals
462|Wholesale of agricultural raw materials and live animals
4630|Wholesale of food, beverages and tobacco
463|Wholesale of food, beverages and tobacco
4641|Wholesale of textiles, clothing and footwear
4649|Wholesale of other household goods
464|Wholesale of household goods
4651|Wholesale of computers, computer peripheral equipment and software
4652|Wholesale of electronic and telecommunications equipment and parts
4653|Wholesale of agricultural machinery, equipment and supplies
4659|Wholesale of other machinery and equipment
465|Wholesale of machinery, equipment and supplies
4661|Wholesale of solid, liquid and gaseous fuels and related products
4662|Wholesale of metals and metal ores
4663|Wholesale of construction materials, hardware, plumbing and heating equip- ment and supplies
4669|Wholesale of waste and scrap and other products n.e.c.
466|Other specialized wholesale
4690|Non-specialized wholesale trade
469|Non-specialized wholesale trade
46|Wholesale trade, except of motor vehicles and motorcycles
4711|Retail sale in non-specialized stores with food, beverages or tobacco predomi- nating
4719|Other retail sale in non-specialized stores
471|Retail sale in non-specialized stores
4721|Retail sale of food in specialized stores
4722|Retail sale of beverages in specialized stores
4723|Retail sale of tobacco products in specialized stores
472|Retail sale of food, beverages and tobacco in specialized stores
4730|Retail sale of automotive fuel in specialized stores
473|Retail sale of automotive fuel in specialized stores
4741|Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores
4742|Retail sale of audio and video equipment in specialized stores
474|Retail sale of information and communications equipment in specialized stores
4751|Retail sale of textiles in specialized stores
4752|Retail sale of hardware, paints and glass in specialized stores
4753|Retail sale of carpets, rugs, wall and floor coverings in specialized stores
4759|Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores
475|Retail sale of other household equipment in specialized stores
4761|Retail sale of books, newspapers and stationary in specialized stores
4762|Retail sale of music and video recordings in specialized stores
4763|Retail sale of sporting equipment in specialized stores
4764|Retail sale of games and toys in specialized stores
476|Retail sale of cultural and recreation goods in specialized stores
4771|Retail sale of clothing, footwear and leather articles in specialized stores
4772|Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores
4773|Other retail sale of new goods in specialized stores
4774|Retail sale of second-hand goods
477|Retail sale of other goods in specialized stores
4781|Retail sale via stalls and markets of food, beverages and tobacco products
4782|Retail sale via stalls and markets of textiles, clothing and footwear
4789|Retail sale via stalls and markets of other goods
478|Retail sale via stalls and markets
4791|Retail sale via mail order houses or via Internet
4799|Other retail sale not in stores, stalls or markets
479|Retail trade not in stores, stalls or markets
47|Retail trade, except of motor vehicles and motorcycles
4911|Passenger rail transport, interurban
4912|Freight rail transport
491|Transport via railways
4921|Urban and suburban passenger land transport
4922|Other passenger land transport
4923|Freight transport by road
492|Other land transport
4930|Transport via pipeline
493|Transport via pipeline
49|Land transport and transport via pipelines
5011|Sea and coastal passenger water transport
5012|Sea and coastal freight water transport
501|Sea and coastal water transport
5021|Inland passenger water transport
5022|Inland freight water transport
502|Inland water transport
50|Water transport
5110|Passenger air transport
511|Passenger air transport
5120|Freight air transport
512|Freight air transport
51|Air transport
5210|Warehousing and storage
521|Warehousing and storage
5221|Service activities incidental to land transportation
5222|Service activities incidental to water transportation
5223|Service activities incidental to air transportation
5224|Cargo handling
5229|Other transportation support activities
522|Support activities for transportation
52|Warehousing and support activities for transportation
5310|Postal activities
531|Postal activities
5320|Courier activities
532|Courier activities
53|Postal and courier activities
5510|Short term accommodation activities
551|Short term accommodation activities
5520|Camping grounds, recreational vehicle parks and trailer parks
552|Camping grounds, recreational vehicle parks and trailer parks
5590|Other accommodation
559|Other accommodation
55|Accommodation
5610|Restaurants and mobile food service activities
561|Restaurants and mobile food service activities
5621|Event catering
5629|Other food service activities
562|Event catering and other food service activities
5630|Beverage serving activities
563|Beverage serving activities
56|Food and beverage service activities
5811|Book publishing
5812|Publishing of directories and mailing lists
5813|Publishing of newspapers, journals and periodicals
5819|Other publishing activities
581|Publishing of books, periodicals and other publishing activities
5820|Software publishing
582|Software publishing
58|Publishing activities
5911|Motion picture, video and television programme production activities
5912|Motion picture, video and television programme post-production activities
5913|Motion picture, video and television programme distribution activities
5914|Motion picture projection activities
591|Motion picture, video and television programme activities
5920|Sound recording and music publishing activities
592|Sound recording and music publishing activities
59|Motion picture, video and television programme production, sound recording and music publishing activities
6010|Radio broadcasting
601|Radio broadcasting
6020|Television programming and broadcasting activities
60|Programming and broadcasting activities
6110|Wired telecommunications activities
611|Wired telecommunications activities
6120|Wireless telecommunications activities
612|Wireless telecommunications activities
6130|Satellite telecommunications activities
613|Satellite telecommunications activities
6190|Other telecommunications activities
619|Other telecommunications activities
61|Telecommunications
6201|Computer programming activities
6202|Computer consultancy and computer facilities management activities
6209|Other information technology and computer service activities
620|Computer programming, consultancy and related activities
62|Computer programming, consultancy and related activities
6311|Data processing, hosting and related activities
6312|Web portals
631|Data processing, hosting and related activities; web portals
6391|News agency activities
6399|Other information service activities n.e.c.
639|Other information service activities
63|Information service activities
6411|Central banking
6419|Other monetary intermediation
641|Monetary intermediation
6420|Activities of holding companies
642|Activities of holding companies
6430|Trusts, funds and similar financial entities
643|Trusts, funds and similar financial entities
6491|Financial leasing
6492|Other credit granting
6499|Other financial service activities, except insurance and pension funding activi- ties, n.e.c.
649|Other financial service activities, except insurance and pension funding activi- ties
64|Financial service activities, except insurance and pension funding
6511|Life insurance
6512|Non-life insurance
651|Insurance
6520|Reinsurance
652|Reinsurance
6530|Pension funding
653|Pension funding
65|Insurance, reinsurance and pension funding, except compulsory social security
6611|Administration of financial markets
6612|Security and commodity contracts brokerage
6619|Other activities auxiliary to financial service activities
661|Activities auxiliary to financial service activities, except insurance and pension funding
6621|Risk and damage evaluation
6622|Activities of insurance agents and brokers
6629|Other activities auxiliary to insurance and pension funding
6630|Fund management activities
663|Fund management activities
66|Activities auxiliary to financial service and insurance activities
6810|Real estate activities with own or leased property
681|Real estate activities with own or leased property
6820|Real estate activities on a fee or contract basis
682|Real estate activities on a fee or contract basis
68|Real estate activities
6910|Legal activities
691|Legal activities
6920|Accounting, bookkeeping and auditing activities; tax consultancy
692|Accounting, bookkeeping and auditing activities; tax consultancy
69|Legal and accounting activities
7010|Activities of head offices
701|Activities of head offices
7020|Management consultancy activities
702|Management consultancy activities
70|Activities of head offices; management consultancy activities
7110|Architectural and engineering activities and related technical consultancy
711|Architectural and engineering activities and related technical consultancy
7120|Technical testing and analysis
712|Technical testing and analysis
71|Architectural and engineering activities; technical testing and analysis
7210|Research and experimental development on natural sciences and engineering
721|Research and experimental development on natural sciences and engineering
7220|Research and experimental development on social sciences and humanities
722|Research and experimental development on social sciences and humanities
72|Scientific research and development
7310|Advertising
731|Advertising
7320|Market research and public opinion polling
732|Market research and public opinion polling
73|Advertising and market research
7410|Specialized design activities
741|Specialized design activities
7420|Photographic activities
742|Photographic activities
7490|Other professional, scientific and technical activities n.e.c.
749|Other professional, scientific and technical activities n.e.c.
74|Other professional, scientific and technical activities
7500|Veterinary activities
750|Veterinary activities
75|Veterinary activities
7710|Renting and leasing of motor vehicles
771|Renting and leasing of motor vehicles
7721|Renting and leasing of recreational and sports goods
7722|Renting of video tapes and disks
7729|Renting and leasing of other personal and household goods
772|Renting and leasing of personal and household goods
7730|Renting and leasing of other machinery, equipment and tangible goods
773|Renting and leasing of other machinery, equipment and tangible goods
7740|Leasing of intellectual property and similar products, except copyrighted works
774|Leasing of intellectual property and similar products, except copyrighted works
77|Rental and leasing activities
7810|Activities of employment placement agencies
781|Activities of employment placement agencies
7820|Temporary employment agency activities
782|Temporary employment agency activities
7830|Other human resources provision
783|Other human resources provision
78|Employment activities
7911|Travel agency activities
7912|Tour operator activities
791|Travel agency and tour operator activities
7990|Other reservation service and related activities
799|Other reservation service and related activities
79|Travel agency, tour operator, reservation service and related activities
8010|Private security activities
801|Private security activities
8020|Security systems service activities
802|Security systems service activities
8030|Investigation activities
803|Investigation activities
80|Security and investigation activities
8110|Combined facilities support activities
811|Combined facilities support activities
8121|General cleaning of buildings
8129|Other building and industrial cleaning activities
812|Cleaning activities
8130|Landscape care and maintenance service activities
813|Landscape care and maintenance service activities
81|Services to buildings and landscape activities
8211|Combined office administrative service activities
8219|Photocopying, document preparation and other specialized office support activities
821|Office administrative and support activities
8220|Activities of call centres
822|Activities of call centres
8230|Organization of conventions and trade shows
823|Organization of conventions and trade shows
8291|Activities of collection agencies and credit bureaus
8292|Packaging activities
8299|Other business support service activities n.e.c.
829|Business support service activities n.e.c.
82|Office administrative, office support and other business support activities
8411|General public administration activities
8412|Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security
8413|Regulation of and contribution to more efficient operation of businesses
841|Administration of the State and the economic and social policy of the commu- nity
8421|Foreign affairs
8422|Defence activities
8423|Public order and safety activities
842|Provision of services to the community as a whole
8430|Compulsory social security activities
843|Compulsory social security activities
84|Public administration and defence; compulsory social security
8510|Pre-primary and primary education
851|Pre-primary and primary education
8521|General secondary education
8522|Technical and vocational secondary education
852|Secondary education
8530|Higher education
853|Higher education
8541|Sports and recreation education
8542|Cultural education
8549|Other education n.e.c.
8550|Educational support activities
855|Educational support activities
85|Education
8610|Hospital activities
861|Hospital activities
8620|Medical and dental practice activities
862|Medical and dental practice activities
8690|Other human health activities
869|Other human health activities
86|Human health activities
8710|Residential nursing care facilities
871|Residential nursing care facilities
8720|Residential care activities for mental retardation, mental health and substance abuse
872|Residential care activities for mental retardation, mental health and substance abuse
8730|Residential care activities for the elderly and disabled
873|Residential care activities for the elderly and disabled
8790|Other residential care activities
879|Other residential care activities
87|Residential care activities
8810|Social work activities without accommodation for the elderly and disabled
881|Social work activities without accommodation for the elderly and disabled
8890|Other social work activities without accommodation
88|Social work activities without accommodation
9000|Creative, arts and entertainment activities
900|Creative, arts and entertainment activities
90|Creative, arts and entertainment activities
9101|Library and archives activities
9102|Museums activities and operation of historical sites and buildings
9103|Botanical and zoological gardens and nature reserves activities
910|Libraries, archives, museums and other cultural activities
91|Libraries, archives, museums and other cultural activities
9200|Gambling and betting activities
920|Gambling and betting activities
92|Gambling and betting activities
9311|Operation of sports facilities
9312|Activities of sports clubs
9319|Other sports activities
931|Sports activities
9321|Activities of amusement parks and theme parks
9329|Other amusement and recreation activities n.e.c.
932|Other amusement and recreation activities
93|Sports activities and amusement and recreation activities
9411|Activities of business and employers membership organizations
9412|Activities of professional membership organizations
941|Activities of business, employers and professional membership organizations
9420|Activities of trade unions
942|Activities of trade unions
9491|Activities of religious organizations
9492|Activities of political organizations
9499|Activities of other membership organizations n.e.c.
949|Activities of other membership organizations
94|Activities of membership organizations
9511|Repair of computers and peripheral equipment
9512|Repair of communication equipment
951|Repair of computers and communication equipment
9521|Repair of consumer electronics
9522|Repair of household appliances and home and garden equipment
9523|Repair of footwear and leather goods
9524|Repair of furniture and home furnishings
9529|Repair of other personal and household goods
952|Repair of personal and household goods
95|Repair of computers and personal and household goods
9601|Washing and (dry-) cleaning of textile and fur products
9602|Hairdressing and other beauty treatment
9603|Funeral and related activities
9609|Other personal service activities n.e.c.
960|Other personal service activities
96|Other personal service activities
9700|Activities of households as employers of domestic personnel
970|Activities of households as employers of domestic personnel
97|Activities of households as employers of domestic personnel
9810|Undifferentiated goods-producing activities of private households for own use
981|Undifferentiated goods-producing activities of private households for own use
9820|Undifferentiated service-producing activities of private households for own use
982|Undifferentiated service-producing activities of private households for own use
98|Undifferentiated goods- and services-producing activities of private house- holds for own use
9900|Activities of extraterritorial organizations and bodies
990|Activities of extraterritorial organizations and bodies
99|Activities of extraterritorial organizations and bodies
